insertId,jsonPayload.levelname,jsonPayload.message,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/endpoint""","labels.""ml.googleapis.com/job_id/log_area""","labels.""ml.googleapis.com/job_state""","labels.""ml.googleapis.com/tpu_worker_id""","labels.""ml.googleapis.com/trial_id""","labels.""ml.googleapis.com/trial_type""",logName,receiveLocation,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
11qzfhlf9whwgt,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/cloud/aiplatform/training_jobs.py"", line 2683, in _run",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.796397816Z
11qzfhlf9whwgs,ERROR,"    return method(*args, **kwargs)",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.796388857Z
11qzfhlf9whwgr,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/cloud/aiplatform/base.py"", line 631, in wrapper",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.796317916Z
11qzfhlf9whwgq,ERROR,"    sync=sync,",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.796250583Z
11qzfhlf9whwgp,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/cloud/aiplatform/training_jobs.py"", line 2534, in run",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.795556540Z
11qzfhlf9whwgo,ERROR,"    output = method(**serialized_args[METHOD_KEY])",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.795547612Z
11qzfhlf9whwgn,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google_cloud_pipeline_components/aiplatform/remote_runner.py"", line 241, in runner",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.795446744Z
11qzfhlf9whwgm,ERROR,"    print(runner(args.cls_name, args.method_name, executor_input, kwargs))",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.795437656Z
11qzfhlf9whwgl,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google_cloud_pipeline_components/aiplatform/remote_runner.py"", line 280, in main",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.795337944Z
11qzfhlf9whwgk,ERROR,"    main()",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.795327472Z
